Time,Crack Length,Force,Temperature
42946.0,1.6784621592800963,1700.0,473.0
42947.0,1.6785161470448595,1700.0,473.0
42948.0,1.6785701354287212,1700.0,473.0
42949.0,1.678624124431682,1700.0,473.0
42950.0,1.6786781140537417,1700.0,473.0
42951.0,1.6787321042949004,1700.0,473.0
42952.0,1.678786095155158,1700.0,473.0
42953.0,1.6788400866345152,1700.0,473.0
42954.0,1.678894078732971,1700.0,473.0
42955.0,1.6789480714505258,1700.0,473.0
42956.0,1.6790020647871793,1700.0,473.0
42957.0,1.6790560587429322,1700.0,473.0
42958.0,1.679110053317784,1700.0,473.0
42959.0,1.6791640485117347,1700.0,473.0
42960.0,1.6792180443247844,1700.0,473.0
42961.0,1.6792720407569335,1700.0,473.0
42962.0,1.679326037808181,1700.0,473.0
42963.0,1.6793800354785278,1700.0,473.0
42964.0,1.6794340337679734,1700.0,473.0
42965.0,1.6794880326765182,1700.0,473.0
42966.0,1.6795420322041619,1700.0,473.0
42967.0,1.6795960323509043,1700.0,473.0
42968.0,1.6796500331167463,1700.0,473.0
42969.0,1.679704034501687,1700.0,473.0
42970.0,1.6797580365057265,1700.0,473.0
42971.0,1.6798120391288651,1700.0,473.0
42972.0,1.679866042371103,1700.0,473.0
42973.0,1.6799200462324397,1700.0,473.0
42974.0,1.6799740507128753,1700.0,473.0
42975.0,1.6800280558124099,1700.0,473.0
42976.0,1.6800820615310437,1700.0,473.0
42977.0,1.6801360678687765,1700.0,473.0
42978.0,1.6801900748256078,1700.0,473.0
42979.0,1.6802440824015386,1700.0,473.0
42980.0,1.680298090596568,1700.0,473.0
42981.0,1.6803520994106966,1700.0,473.0
42982.0,1.6804061088439244,1700.0,473.0
42983.0,1.6804601188962511,1700.0,473.0
42984.0,1.6805141295676767,1700.0,473.0
42985.0,1.6805681408582012,1700.0,473.0
42986.0,1.6806221527678242,1700.0,473.0
42987.0,1.6806761652965467,1700.0,473.0
42988.0,1.6807301784443685,1700.0,473.0
42989.0,1.6807841922112892,1700.0,473.0
42990.0,1.6808382065973086,1700.0,473.0
42991.0,1.6808922216024271,1700.0,473.0
42992.0,1.680946237226645,1700.0,473.0
42993.0,1.6810002534699613,1700.0,473.0
42994.0,1.6810542703323765,1700.0,473.0
42995.0,1.6811082878138914,1700.0,473.0
42996.0,1.6811623059145049,1700.0,473.0
42997.0,1.6812163246342173,1700.0,473.0
42998.0,1.6812703439730288,1700.0,473.0
42999.0,1.6813243639309394,1700.0,473.0
43000.0,1.681378384507949,1700.0,473.0
43001.0,1.6814324057040573,1700.0,473.0
43002.0,1.681486427519265,1700.0,473.0
43003.0,1.6815404499535713,1700.0,473.0
43004.0,1.6815944730069767,1700.0,473.0
43005.0,1.6816484966794811,1700.0,473.0
43006.0,1.6817025209710845,1700.0,473.0
43007.0,1.6817565458817874,1700.0,473.0
43008.0,1.6818105714115887,1700.0,473.0
43009.0,1.6818645975604891,1700.0,473.0
43010.0,1.6819186243284885,1700.0,473.0
43011.0,1.6819726517155866,1700.0,473.0
43012.0,1.6820266797217842,1700.0,473.0
43013.0,1.6820807083470808,1700.0,473.0
43014.0,1.682134737591476,1700.0,473.0
43015.0,1.6821887674549703,1700.0,473.0
43016.0,1.6822427979375638,1700.0,473.0
43017.0,1.6822968290392561,1700.0,473.0
43018.0,1.6823508607600477,1700.0,473.0
43019.0,1.6824048930999378,1700.0,473.0
43020.0,1.6824589260589273,1700.0,473.0
43021.0,1.6825129596370156,1700.0,473.0
43022.0,1.682566993834203,1700.0,473.0
43023.0,1.6826210286504892,1700.0,473.0
43024.0,1.6826750640858745,1700.0,473.0
43025.0,1.6827291001403588,1700.0,473.0
43026.0,1.6827831368139425,1700.0,473.0
43027.0,1.6828371741066248,1700.0,473.0
43028.0,1.682891212018406,1700.0,473.0
43029.0,1.6829452505492863,1700.0,473.0
43030.0,1.6829992896992656,1700.0,473.0
43031.0,1.6830533294683439,1700.0,473.0
43032.0,1.683107369856521,1700.0,473.0
43033.0,1.6831614108637973,1700.0,473.0
43034.0,1.6832154524901726,1700.0,473.0
43035.0,1.6832694947356468,1700.0,473.0
43036.0,1.6833235376002196,1700.0,473.0
43037.0,1.683377581083892,1700.0,473.0
43038.0,1.6834316251866634,1700.0,473.0
43039.0,1.6834856699085337,1700.0,473.0
43040.0,1.6835397152495029,1700.0,473.0
43041.0,1.683593761209571,1700.0,473.0
43042.0,1.6836478077887382,1700.0,473.0
43043.0,1.6837018549870044,1700.0,473.0
43044.0,1.6837559028043698,1700.0,473.0
43045.0,1.6838099512408338,1700.0,473.0
43046.0,1.683864000296397,1700.0,473.0
43047.0,1.683918049971059,1700.0,473.0
43048.0,1.6839721002648205,1700.0,473.0
43049.0,1.6840261511776806,1700.0,473.0
43050.0,1.6840802027096395,1700.0,473.0
43051.0,1.6841342548606981,1700.0,473.0
43052.0,1.684188307630855,1700.0,473.0
43053.0,1.6842423610201112,1700.0,473.0
43054.0,1.6842964150284665,1700.0,473.0
43055.0,1.6843504696559206,1700.0,473.0
43056.0,1.6844045249024737,1700.0,473.0
43057.0,1.6844585807681258,1700.0,473.0
43058.0,1.684512637252877,1700.0,473.0
43059.0,1.684566694356727,1700.0,473.0
43060.0,1.684620752079676,1700.0,473.0
43061.0,1.6846748104217242,1700.0,473.0
43062.0,1.6847288693828713,1700.0,473.0
43063.0,1.6847829289631173,1700.0,473.0
43064.0,1.6848369891624624,1700.0,473.0
43065.0,1.6848910499809064,1700.0,473.0
43066.0,1.6849451114184495,1700.0,473.0
43067.0,1.6849991734750918,1700.0,473.0
43068.0,1.6850532361508326,1700.0,473.0
43069.0,1.6851072994456726,1700.0,473.0
43070.0,1.6851613633596116,1700.0,473.0
43071.0,1.6852154278926497,1700.0,473.0
43072.0,1.6852694930447871,1700.0,473.0
43073.0,1.6853235588160227,1700.0,473.0
43074.0,1.685377625206358,1700.0,473.0
43075.0,1.6854316922157917,1700.0,473.0
43076.0,1.6854857598443247,1700.0,473.0
43077.0,1.6855398280919567,1700.0,473.0
43078.0,1.6855938969586877,1700.0,473.0
43079.0,1.6856479664445176,1700.0,473.0
43080.0,1.6857020365494468,1700.0,473.0
43081.0,1.6857561072734746,1700.0,473.0
43082.0,1.6858101786166015,1700.0,473.0
43083.0,1.6858642505788277,1700.0,473.0
43084.0,1.6859183231601524,1700.0,473.0
43085.0,1.6859723963605764,1700.0,473.0
43086.0,1.6860264701800993,1700.0,473.0
43087.0,1.686080544618721,1700.0,473.0
43088.0,1.6861346196764417,1700.0,473.0
43089.0,1.6861886953532619,1700.0,473.0
43090.0,1.6862427716491808,1700.0,473.0
43091.0,1.6862968485641987,1700.0,473.0
43092.0,1.6863509260983158,1700.0,473.0
43093.0,1.6864050042515315,1700.0,473.0
43094.0,1.6864590830238464,1700.0,473.0
43095.0,1.68651316241526,1700.0,473.0
43096.0,1.686567242425773,1700.0,473.0
43097.0,1.6866213230553848,1700.0,473.0
43098.0,1.6866754043040957,1700.0,473.0
43099.0,1.6867294861719055,1700.0,473.0
43100.0,1.6867835686588146,1700.0,473.0
43101.0,1.6868376517648223,1700.0,473.0
43102.0,1.686891735489929,1700.0,473.0
43103.0,1.686945819834135,1700.0,473.0
43104.0,1.6869999047974398,1700.0,473.0
43105.0,1.6870539903798436,1700.0,473.0
43106.0,1.6871080765813464,1700.0,473.0
43107.0,1.6871621634019482,1700.0,473.0
43108.0,1.687216250841649,1700.0,473.0
43109.0,1.6872703389004486,1700.0,473.0
43110.0,1.6873244275783477,1700.0,473.0
43111.0,1.6873785168753455,1700.0,473.0
43112.0,1.6874326067914422,1700.0,473.0
43113.0,1.687486697326638,1700.0,473.0
43114.0,1.6875407884809324,1700.0,473.0
43115.0,1.6875948802543266,1700.0,473.0
43116.0,1.6876489726468193,1700.0,473.0
43117.0,1.6877030656584107,1700.0,473.0
43118.0,1.6877571592891014,1700.0,473.0
43119.0,1.6878112535388912,1700.0,473.0
43120.0,1.68786534840778,1700.0,473.0
43121.0,1.6879194438957676,1700.0,473.0
43122.0,1.6879735400028544,1700.0,473.0
43123.0,1.6880276367290403,1700.0,473.0
43124.0,1.6880817340743248,1700.0,473.0
43125.0,1.6881358320387083,1700.0,473.0
43126.0,1.6881899306221912,1700.0,473.0
43127.0,1.688244029824773,1700.0,473.0
43128.0,1.6882981296464536,1700.0,473.0
43129.0,1.6883522300872331,1700.0,473.0
43130.0,1.6884063311471116,1700.0,473.0
43131.0,1.6884604328260893,1700.0,473.0
43132.0,1.688514535124166,1700.0,473.0
43133.0,1.6885686380413416,1700.0,473.0
43134.0,1.6886227415776163,1700.0,473.0
43135.0,1.6886768457329895,1700.0,473.0
43136.0,1.6887309505074621,1700.0,473.0
43137.0,1.6887850559010338,1700.0,473.0
43138.0,1.6888391619137042,1700.0,473.0
43139.0,1.688893268545474,1700.0,473.0
43140.0,1.6889473757963425,1700.0,473.0
43141.0,1.6890014836663099,1700.0,473.0
43142.0,1.6890555921553767,1700.0,473.0
43143.0,1.689109701263542,1700.0,473.0
43144.0,1.6891638109908067,1700.0,473.0
43145.0,1.6892179213371703,1700.0,473.0
